synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
1,1248,1.1810393516498152e-05,8.33000058264588e-06,6.474765768871293e-06,1.2430475635483162e-05,8.33000058264588e-06,6.197466518642614e-06,1.1829999948531622e-05,8.329999673151178e-06,5.833772092955769e-06,60.5496585174276,1374,0.011304362134500518,1.0
2,1259,9.332770787295885e-06,1.4247355011320906e-05,5.4221854952629656e-06,8.616550985607319e-06,1.4256203485274455e-05,5.1240376706118695e-06,9.237893664248986e-06,1.4149487014947226e-05,4.713865564553998e-06,63.505440057479305,60,0.0005992569214174424,0.06349206349206349
3,1237,1.5448499652848113e-05,1.1745346910174703e-05,7.565292662548018e-06,1.5939288914523786e-05,1.1749787063308759e-05,7.532991730840877e-06,1.5370978871942498e-05,1.1757440006476827e-05,6.966256933083059e-06,37.70622888158189,881,0.012770892222947017,0.9832589285714286
4,218,9.8500258900458e-06,1.3007114375795936e-05,9.721151400299277e-06,9.819668775890023e-06,1.2984220575162908e-05,9.716200111142825e-06,9.848235094978008e-06,1.3008294899918837e-05,9.628961379348766e-06,23.592738334267523,56806,0.4289608614557454,0.7711814935990551
5,1020,1.665972922637593e-05,7.428391199937323e-06,6.122402965047513e-06,1.6434173630841542e-05,7.808688678778708e-06,5.619594730887911e-06,1.6667143427184783e-05,7.452678573827143e-06,5.722476316805114e-06,105.90309153795316,4134,0.060557232004218794,0.7433914763531739
6,1035,8.203042398235993e-06,1.3756585303781321e-05,1.0258622182846011e-06,8.600612090958748e-06,1.3756070529780118e-05,8.426342219536309e-07,8.317705578519963e-06,1.3774432318314211e-05,5.654069070715195e-07,59.50855505169768,6330,0.06692251577912398,1.0
7,1193,1.5938923752401024e-05,1.2613398212124594e-05,2.75150330253382e-06,1.5528054518654244e-05,1.1674992038024357e-05,2.222661521500413e-06,1.5972344954207074e-05,1.2646947652683593e-05,1.3729384704674885e-06,49.66991164688518,1361,0.03399100899100899,1.0
8,133,1.1107641512353439e-05,1.537999924039468e-05,3.4786685318977106e-06,1.1076732334913686e-05,1.5382632227556314e-05,3.473209972071345e-06,1.1109304978162982e-05,1.5388307474495377e-05,3.3585970413696487e-06,15.0954523562192,77933,0.5080808673486019,0.6057847770661029
9,1252,1.3375549769989448e-05,8.176118399205734e-06,2.509252965410269e-06,1.3519642834580736e-05,9.549339210934704e-06,7.347558366177509e-07,1.3321499409357784e-05,8.213834462367231e-06,1.0811314723468968e-06,105.5537262598715,0,0.0,0.0
10,544,1.3843240139976842e-05,1.3044115803495515e-05,9.082961241801968e-06,1.3809179563395446e-05,1.3183755982026923e-05,9.006018444779329e-06,1.3842380667483667e-05,1.3038960332778515e-05,8.917092600313481e-06,57.42840126532672,14395,0.11731675115320044,0.33621394371131613
11,603,1.556654297019122e-05,1.446519854653161e-05,8.064450412348378e-06,1.5423734566866187e-05,1.446817850592197e-05,8.023800091905287e-06,1.5572295524179935e-05,1.4461346381722251e-05,7.881905730755534e-06,44.49773383398874,25946,0.2072910591449823,0.6205247171932174
12,3,1.4639780602010433e-05,6.543288236571243e-06,8.519898074155208e-06,1.460586508983397e-05,6.692507440675399e-06,8.453263490082463e-06,1.4637821095675463e-05,6.5413319134677295e-06,8.308064479933819e-06,46.37575165077311,2171,0.01735897333386639,0.02613332691335436
13,814,1.0343229405407328e-05,1.4637509138992755e-05,6.444982147968403e-07,1.0240471056022216e-05,1.4576390185538912e-05,6.086145276640309e-07,1.0337570529372897e-05,1.4611522146878997e-05,4.417370718101665e-07,36.2248171377677,22123,0.263068398021309,0.9898876907244172
14,122,1.1570755305001512e-05,8.667052043165313e-06,2.560372195148375e-06,1.1512013770698104e-05,8.731806246942142e-06,2.5205287101925933e-06,1.1570669357752195e-05,8.66839945956599e-06,2.4244735641332227e-06,42.405943973384716,32137,0.21762566786979162,0.3662085783308264
15,863,9.517060334474081e-06,6.629944664382492e-06,1.917882002544502e-06,9.560449598211562e-06,6.755328058716259e-06,1.8628455222824414e-06,9.509975825494621e-06,6.64482786305598e-06,1.7085866943489236e-06,41.237643290950295,21877,0.17226798116446446,0.9889250519844499
16,1054,9.097560905502178e-06,1.4531352917401819e-05,2.566469675002736e-06,9.196580322168302e-06,1.456415384382126e-05,2.65375956587377e-06,9.052730092662387e-06,1.4503977581625804e-05,2.2929241367819486e-06,12.727135384337322,9182,0.08462906808483184,0.962171224981662
17,288,9.492417120782193e-06,1.428614405085682e-05,3.0132832762319595e-06,9.493046036368469e-06,1.427757206329261e-05,3.014702201653563e-06,9.493951893091435e-06,1.4278236449172255e-05,2.884242348955013e-06,3.808779272586613,77199,0.6358537188040524,0.7291798509506853
18,1042,1.534549392090412e-05,1.2473892638809048e-05,2.7821369030789356e-06,1.5767081549711293e-05,1.2350978977337945e-05,2.587357130323653e-06,1.5374118447653018e-05,1.2479519227781566e-05,2.3310797132580774e-06,61.453104194433166,6957,0.07402402562165498,1.0
19,577,1.657836401136592e-05,1.408542129865964e-05,2.932793421450697e-07,1.6652427802910097e-05,1.4043768715055194e-05,2.6201479386145365e-07,1.65763522090856e-05,1.4083616406423971e-05,1.3173683655054447e-07,33.0687961047187,51248,0.40881968154695425,0.6930181611651273
20,1079,1.641342259972589e-05,1.2280413102416787e-05,1.3097198348077654e-06,1.635727039683843e-05,1.2140789294790011e-05,1.2739818089357868e-06,1.641420658415882e-05,1.2306040844123345e-05,1.0109630466104136e-06,28.953432589074403,14297,0.11078136622861394,1.0
21,1262,8.61677494867763e-06,9.561611932440428e-06,6.806435749240336e-06,8.61630587678519e-06,9.550791673973436e-06,6.796141633458319e-06,8.629226613265928e-06,9.573521310812794e-06,5.690093303201138e-06,0.5668248970697524,2013,0.021381456658204723,1.0
22,192,1.3449991456582211e-05,8.449184861092363e-06,7.853102943045087e-06,1.3414637578534894e-05,8.474129117530538e-06,7.84329586167587e-06,1.3438242604024708e-05,8.452262136415811e-06,7.74798263591947e-06,24.655662734841176,58119,0.4654770581215611,0.5453342716396904
23,1027,1.5183396499196533e-05,1.4325562005979009e-05,6.405618023563875e-06,1.5062407783261733e-05,1.4321424259833293e-05,6.394248885044362e-06,1.5245335362124024e-05,1.4327601547847735e-05,5.995191713736858e-06,16.052541288251916,11118,0.1352735767560136,0.9073696237656084
